DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3205.9,2.404999971,72.3190376,0.1501394,33.58498001,1.0,0.1040607,0.6824947,0.06330521,0.0,0.0,0.1501394
3206.0,2.411999941,72.03707256,0.1480936,28.99757957,1.0,0.1146852,0.654051,0.08317015,0.0,0.0,0.1480936
3206.1,2.417000055,71.74286973,0.1432303,20.45182991,1.0,0.1287799,0.7279898,0.0,0.0,0.0,0.1432303
3206.2,2.424000025,71.45692429,0.1386922,14.7652998,1.0,0.123075,0.7382329,0.0,0.0,0.0,0.1386922
3206.3,2.434000015,71.22854544,0.1278779,6.793231964,1.0,0.1580506,0.6880988,0.02597265,0.0,0.0,0.1278779
3206.4,2.443000078,71.04613711,0.1228051,4.719727039,1.0,0.1864628,0.6895341,0.001197903,0.0,0.0,0.1228051
3206.5,2.461999893,70.9445417,0.1196902,3.773977041,1.0,0.2149906,0.6314436,0.03387558,0.0,0.0,0.1196902
3206.6,2.459000111,70.90887691,0.1232396,4.869266987,1.0,0.2082241,0.6496724,0.01886385,0.0,0.0,0.1232396
3206.7,2.440000057,70.9104863,0.1234692,4.950177193,1.0,0.2125611,0.6639697,0.0,0.0,0.0,0.1234692
3206.8,2.437999964,70.95109025,0.1223265,4.560314178,1.0,0.2164611,0.6409722,0.02024016,0.0,0.0,0.1223265
3206.9,2.444000006,70.99451953,0.1207817,4.081582069,1.0,0.2061089,0.6636632,0.009446193,0.0,0.0,0.1207817
3207.0,2.450000048,71.03429083,0.119598,3.749083042,1.0,0.2127514,0.6022948,0.0653558,0.0,0.0,0.119598
3207.1,2.428999901,71.04900915,0.1263116,6.070727825,1.0,0.2063318,0.6349546,0.03240201,0.0,0.0,0.1263116
3207.2,2.427999973,71.04172412,0.1254317,5.699138165,1.0,0.2385077,0.6114838,0.02457669,0.0,0.0,0.1254317
